code,name,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,signals
HK.01810,XIAOMI-W,44.9,44.7,45.05,44.15,0.0,0.0,44524400,1988351229.4,-0.5561735261401557,44.95,0.0
HK.01810,XIAOMI-W,44.7,44.25,44.95,44.25,0.0,0.0,55183200,2457220971.2,-1.0067114093959795,44.7,0.0
HK.01810,XIAOMI-W,45.2,44.35,45.45,44.1,0.0,0.0,130140000,5829523353.2,0.22598870056497497,44.25,0.0
HK.01810,XIAOMI-W,44.35,44.0,44.65,43.85,0.0,0.0,60526600,2676552788.4,-0.789177001127399,44.35,-1.0
HK.01810,XIAOMI-W,44.0,43.85,44.1,43.6,0.0,0.0,17169400,752172013.2,-0.34090909090908766,44.0,0.0
HK.01810,XIAOMI-W,43.85,43.15,44.0,42.25,0.0,0.0,119280200,5116382342.6,-1.5963511972634041,43.85,0.0
HK.01810,XIAOMI-W,43.1,42.85,43.25,42.7,0.0,0.0,39711000,1704508070.0,-0.6952491309385798,43.15,0.0
HK.01810,XIAOMI-W,42.85,43.2,43.25,42.75,0.0,0.0,54675000,2348899255.0,0.8168028004667477,42.85,0.0
HK.01810,XIAOMI-W,43.75,42.95,43.85,42.05,0.0,0.0,76873600,3286901226.6,-0.5787037037037037,43.2,0.0
HK.01810,XIAOMI-W,42.9,42.6,42.95,42.4,0.0,0.0,18668800,796458161.4,-0.8149010477299218,42.95,0.0
HK.01810,XIAOMI-W,42.6,42.75,42.8,42.45,0.0,0.0,4300800,183071177.8,0.3521126760563347,42.6,0.0
HK.01810,XIAOMI-W,42.8,42.6,43.05,42.6,0.0,0.0,16072600,687316190.0,-0.3508771929824528,42.75,0.0
HK.01810,XIAOMI-W,42.6,42.9,42.9,42.3,0.0,0.0,21739400,924810273.8,0.7042253521126693,42.6,1.0
HK.01810,XIAOMI-W,42.85,43.1,43.15,42.75,0.0,0.0,26810600,1152422770.0,0.4662004662004729,42.9,0.0
HK.01810,XIAOMI-W,42.5,41.8,42.95,41.55,0.0,0.0,71592400,3011056501.4,-3.0162412993039545,43.1,-1.0
HK.01810,XIAOMI-W,41.75,40.75,41.9,40.4,0.0,0.0,86280600,3541564019.0,-2.5119617224880315,41.8,0.0
HK.01810,XIAOMI-W,40.75,40.75,40.95,40.45,0.0,0.0,21053000,857252335.0,0.0,40.75,0.0
HK.01810,XIAOMI-W,40.8,40.75,40.95,40.2,0.0,0.0,56825800,2306583572.6,0.0,40.75,0.0
HK.01810,XIAOMI-W,40.75,41.05,41.35,40.45,0.0,0.0,39220800,1598592715.4,0.736196319018398,40.75,1.0
HK.01810,XIAOMI-W,41.1,41.25,41.6,41.05,0.0,0.0,39496000,1629820850.0,0.487210718635817,41.05,0.0
HK.01810,XIAOMI-W,41.25,41.35,41.7,40.5,0.0,0.0,67089400,2762164683.8,0.24242424242424584,41.25,0.0
HK.01810,XIAOMI-W,41.35,42.0,42.15,40.9,0.0,0.0,36494000,1515153635.0,1.571946795646913,41.35,0.0
HK.01810,XIAOMI-W,42.0,42.05,42.15,41.85,0.0,0.0,11487200,482433528.0,0.11904761904761227,42.0,0.0
HK.01810,XIAOMI-W,42.05,41.6,42.25,41.25,0.0,0.0,28503400,1187922966.2,-1.070154577883462,42.05,-1.0
HK.01810,XIAOMI-W,41.6,41.75,41.85,41.45,0.0,0.0,15427800,642868932.0,0.36057692307691963,41.6,0.0
HK.01810,XIAOMI-W,41.75,41.95,41.95,41.7,0.0,0.0,23966400,1002797519.8,0.4790419161676715,41.75,1.0
HK.01810,XIAOMI-W,42.45,43.1,44.0,42.2,0.0,0.0,104073400,4501452326.6,2.741358760429079,41.95,0.0
HK.01810,XIAOMI-W,43.05,43.45,43.85,43.05,0.0,0.0,30733800,1337064627.0,0.812064965197219,43.1,0.0
HK.01810,XIAOMI-W,43.45,43.7,43.75,43.4,0.0,0.0,7410000,323243382.0,0.5753739930955121,43.45,0.0
HK.01810,XIAOMI-W,43.7,44.3,44.7,43.65,0.0,0.0,69452400,3070177576.24,1.3729977116704675,43.7,0.0
HK.01810,XIAOMI-W,44.35,44.2,44.6,44.05,0.0,0.0,29484200,1307426107.0,-0.2257336343114996,44.3,0.0
HK.01810,XIAOMI-W,44.2,44.4,44.4,44.0,0.0,0.0,39557200,1749722981.4,0.4524886877827958,44.2,0.0
HK.01810,XIAOMI-W,46.75,46.65,46.75,45.7,0.0,0.0,135762400,6283664920.4,5.0675675675675675,44.4,0.0
HK.01810,XIAOMI-W,46.6,47.05,47.65,46.45,0.0,0.0,87275600,4115506616.8,0.85744908896034,46.65,0.0
HK.01810,XIAOMI-W,47.1,47.25,47.5,47.05,0.0,0.0,11252800,532763459.0,0.42507970244421434,47.05,0.0
HK.01810,XIAOMI-W,47.3,47.75,47.95,47.1,0.0,0.0,57168200,2725508748.0,1.0582010582010581,47.25,0.0
HK.01810,XIAOMI-W,47.75,47.65,47.75,47.2,0.0,0.0,30966800,1469399008.8,-0.20942408376963648,47.75,0.0
HK.01810,XIAOMI-W,47.65,47.45,47.75,47.2,0.0,0.0,42220600,2001686392.8,-0.4197271773347235,47.65,0.0
HK.01810,XIAOMI-W,48.0,48.5,48.7,47.4,0.0,0.0,87674200,4216908451.0,2.2128556375131656,47.45,0.0
HK.01810,XIAOMI-W,48.5,47.5,48.6,46.95,0.0,0.0,64043000,3049751532.4,-2.0618556701030926,48.5,0.0
HK.01810,XIAOMI-W,47.5,47.45,47.55,47.25,0.0,0.0,6077600,287957728.8,-0.10526315789473085,47.5,-1.0
HK.01810,XIAOMI-W,47.4,47.8,48.1,47.2,0.0,0.0,25731200,1228866909.2,0.7376185458377119,47.45,1.0
HK.01810,XIAOMI-W,47.8,47.85,47.95,47.7,0.0,0.0,18583800,888826033.4,0.10460251046025996,47.8,0.0
HK.01810,XIAOMI-W,47.9,48.2,48.2,47.8,0.0,0.0,35736400,1715587791.0,0.7314524555903896,47.85,0.0
HK.01810,XIAOMI-W,48.55,48.3,48.65,47.05,0.0,0.0,60501600,2890855018.4,0.207468879668038,48.2,0.0
HK.01810,XIAOMI-W,48.3,48.35,48.6,48.05,0.0,0.0,27004200,1305672191.2,0.10351966873706887,48.3,0.0
HK.01810,XIAOMI-W,48.3,48.15,48.35,48.1,0.0,0.0,4995600,240909379.2,-0.41365046535677935,48.35,0.0
HK.01810,XIAOMI-W,48.15,47.95,48.4,47.85,0.0,0.0,21450200,1033120473.4,-0.4153686396676962,48.15,-1.0
HK.01810,XIAOMI-W,47.95,47.95,48.05,47.6,0.0,0.0,18238600,873317100.0,0.0,47.95,0.0
HK.01810,XIAOMI-W,47.95,47.7,48.15,47.4,0.0,0.0,33714200,1608866007.6,-0.5213764337851928,47.95,0.0
HK.01810,XIAOMI-W,48.0,47.9,48.35,47.2,0.0,0.0,31550200,1511059153.6,0.4192872117400329,47.7,0.0
HK.01810,XIAOMI-W,47.85,47.65,48.1,47.35,0.0,0.0,16952400,808185487.0,-0.5219206680584552,47.9,0.0
HK.01810,XIAOMI-W,47.7,48.05,48.1,47.65,0.0,0.0,6054200,290096916.4,0.8394543546694619,47.65,0.0
HK.01810,XIAOMI-W,48.05,47.95,48.15,47.8,0.0,0.0,8952000,429586081.0,-0.20811654526533677,48.05,0.0
HK.01810,XIAOMI-W,47.95,47.85,48.0,47.7,0.0,0.0,8257000,394885283.2,-0.20855057351408013,47.95,0.0
HK.01810,XIAOMI-W,47.85,47.5,47.9,47.45,0.0,0.0,18817800,895371202.4,-0.7314524555903896,47.85,0.0
HK.01810,XIAOMI-W,47.95,47.4,47.95,47.0,0.0,0.0,38739600,1837361161.2,-0.21052631578947667,47.5,0.0
HK.01810,XIAOMI-W,47.45,47.3,47.6,47.25,0.0,0.0,12780400,605972956.2,-0.21097046413502413,47.4,0.0
HK.01810,XIAOMI-W,47.3,47.4,47.5,47.3,0.0,0.0,4076400,193292054.6,0.21141649048626093,47.3,0.0
HK.01810,XIAOMI-W,47.45,47.4,47.75,47.3,0.0,0.0,12241800,581172832.4,0.0,47.4,0.0
HK.01810,XIAOMI-W,47.45,47.3,47.55,47.3,0.0,0.0,10305000,488615196.2,-0.21097046413502413,47.4,0.0
HK.01810,XIAOMI-W,47.3,47.45,47.45,47.2,0.0,0.0,23188800,1098156058.4,0.3171247357293989,47.3,0.0
HK.01810,XIAOMI-W,47.25,48.1,48.3,46.8,0.0,0.0,47882200,2281383950.4,1.3698630136986272,47.45,1.0
HK.01810,XIAOMI-W,48.1,49.9,50.0,48.1,0.0,0.0,80230000,3950263292.6,3.742203742203736,48.1,0.0
HK.01810,XIAOMI-W,49.85,49.7,49.95,49.6,0.0,0.0,15238200,758715232.4,-0.4008016032064043,49.9,0.0
HK.01810,XIAOMI-W,49.7,49.7,49.9,49.2,0.0,0.0,25302800,1254710744.8,0.0,49.7,0.0
HK.01810,XIAOMI-W,49.7,49.65,49.75,49.4,0.0,0.0,19195200,951867749.8,-0.10060362173039086,49.7,0.0
HK.01810,XIAOMI-W,49.65,49.95,49.95,49.55,0.0,0.0,50924000,2538725462.2,0.6042296072507639,49.65,0.0
HK.01810,XIAOMI-W,50.5,52.0,52.2,50.0,0.0,0.0,48974400,2514921874.4,4.104104104104098,49.95,0.0
HK.01810,XIAOMI-W,51.95,52.4,52.45,51.95,0.0,0.0,17033800,887884363.4,0.7692307692307665,52.0,0.0
HK.01810,XIAOMI-W,52.45,52.7,52.85,52.4,0.0,0.0,9994200,526306507.6,0.5725190839694738,52.4,0.0
HK.01810,XIAOMI-W,52.7,52.7,52.85,52.5,0.0,0.0,16644800,876987241.2,0.0,52.7,0.0
HK.01810,XIAOMI-W,52.7,52.95,53.1,52.4,0.0,0.0,17583800,928673477.6,0.47438330170777987,52.7,0.0
HK.01810,XIAOMI-W,52.95,53.1,53.1,52.8,0.0,0.0,30111600,1596028701.8,0.28328611898016726,52.95,0.0
HK.01810,XIAOMI-W,53.1,51.8,53.15,51.6,0.0,0.0,82763000,4318794255.0,-2.4482109227872018,53.1,-1.0
HK.01810,XIAOMI-W,51.8,51.8,52.0,51.4,0.0,0.0,27739800,1433359608.4,0.0,51.8,0.0
HK.01810,XIAOMI-W,51.75,51.8,52.0,51.7,0.0,0.0,6085400,315556620.6,0.0,51.8,0.0
HK.01810,XIAOMI-W,51.8,51.85,52.2,51.6,0.0,0.0,18891400,980896784.4,0.09652509652510476,51.8,0.0
HK.01810,XIAOMI-W,51.8,51.7,51.9,51.65,0.0,0.0,18625600,963862631.0,-0.28929604628736466,51.85,0.0
HK.01810,XIAOMI-W,51.7,51.55,51.9,51.5,0.0,0.0,33459200,1728281649.0,-0.2901353965183862,51.7,0.0
HK.01810,XIAOMI-W,52.6,51.65,53.5,51.5,0.0,0.0,72057400,3752706018.4,0.19398642095053625,51.55,0.0
HK.01810,XIAOMI-W,51.65,50.4,51.65,50.05,0.0,0.0,65247000,3308541398.8,-2.420135527589545,51.65,0.0
HK.01810,XIAOMI-W,50.35,50.2,50.5,50.05,0.0,0.0,11177600,561169399.0,-0.39682539682538837,50.4,0.0
HK.01810,XIAOMI-W,50.2,50.4,51.2,50.15,0.0,0.0,27390000,1389267136.4,0.3984063745019835,50.2,0.0
HK.01810,XIAOMI-W,50.4,50.4,50.55,50.15,0.0,0.0,19268400,970320506.4,0.0,50.4,0.0
HK.01810,XIAOMI-W,50.45,50.1,50.55,50.05,0.0,0.0,40886000,2051996087.4,-0.5952380952380897,50.4,0.0
